"farm","subdat","weeksets","mean_error","sd","mean_estimate","sd_estimate","min_estimate","max_estimate","true_emis"
"control",1,"1,9,4,8,3,7,2,10",-13.5177007481078,3.67990493333787,6.03423709432008,0.256762586614891,5.60855296948088,6.66234709695786,6.97742445161465
"control",1,"2,4,8,3,7,10",-10.0879748186769,7.10274442960461,6.27354362994356,0.495588626566929,5.43375935528627,7.45086780960353,6.97742445161465
"control",1,"5,9,4,8,3,7,2,10",-3.24512977560525,4.75377954485174,6.75099797316494,0.331691376338341,6.26340678718877,7.49018294289388,6.97742445161465
"control",1,"6,4,8,3,7,10",1.83594597449979,6.77361285848053,7.10552619495783,0.472623719845335,6.40663521922134,7.95905014724927,6.97742445161465
"control",1,"9,4,8,3,7,10",2.44873780281597,6.30383709158121,7.14828328182426,0.439845470617941,6.27561391584292,8.24848780391713,6.97742445161465
"control",1,"9,4,8,3,7,6",-4.63310866285099,5.53317929518351,6.65415279490301,0.386073405093814,5.91394351216589,7.38167264834326,6.97742445161465
"frequentflushing",1,"1,9,4,8,3,7,2,10",-6.12376779338174,2.49564162151893,4.08642192525061,0.108635001640213,3.86121515809433,4.32669311014729,4.35298885478972
"frequentflushing",1,"2,4,8,3,7,10",-3.8290934428956,4.15169930179034,4.18630884398099,0.180723007891316,3.89783238878193,4.56251336985556,4.35298885478972
"frequentflushing",1,"5,9,4,8,3,7,2,10",-1.49499730117826,2.17961117263072,4.28791178889002,0.0948782314223669,4.11627652211414,4.45668171437814,4.35298885478972
"frequentflushing",1,"6,4,8,3,7,10",0.599258829874196,4.7349437436189,4.37907452486549,0.206111573440294,4.11610190395611,4.87631309451582,4.35298885478972
"frequentflushing",1,"9,4,8,3,7,10",5.42225307209551,3.04147352626265,4.58901892669653,0.132395003619593,4.37527586294587,4.83295303816327,4.35298885478972
"frequentflushing",1,"9,4,8,3,7,6",-1.43874289330205,4.1178492352606,4.2903605369952,0.179249518267937,4.0671413571909,4.69479765119321,4.35298885478972
"section5",1,"1,9,4,8,3,7,2,10",-3.32954624482363,4.40345061100352,22.3315117402121,1.01722610370807,20.857468358981,23.7188177888142,23.1006588598083
"section5",1,"2,4,8,3,7,10",-1.21981044204069,5.13215280826904,22.8188746108562,1.1855611124023,20.1351537630666,24.1604087663348,23.1006588598083
"section5",1,"5,9,4,8,3,7,2,10",1.66895933237132,5.15311455163373,23.4861994616884,1.19040341322805,21.642238891852,25.0549530652468,23.1006588598083
"section5",1,"6,4,8,3,7,10",6.52813543142377,4.63336723721112,24.6087011557278,1.07033835919027,22.4095499407683,26.2214017022871,23.1006588598083
"section5",1,"9,4,8,3,7,10",8.83751673966399,5.1634113366838,25.1421834535166,1.19278203841599,23.4093952097162,27.0406707501255,23.1006588598083
"section5",1,"9,4,8,3,7,6",9.40355906626244,4.55038795048753,25.2729429603862,1.05116959723995,24.0739440094603,27.0780231263317,23.1006588598083
"section5",2,"1,9,4,8,3,7,2,10",-2.90796209313453,4.76758991021511,22.871850869742,1.12309523814018,21.2911326709935,24.3890743525224,23.5568758909784
"section5",2,"2,4,8,3,7,10",-1.20050765880079,5.45830800088877,23.274073791733,1.28580684151671,20.7422837998841,24.8333496142173,23.5568758909784
"section5",2,"5,9,4,8,3,7,2,10",2.28316568999808,5.57199064026879,24.0947183989567,1.31258691978505,22.0759032038645,25.725209628955,23.5568758909784
"section5",2,"6,4,8,3,7,10",7.18565514262449,4.99801377710998,25.2495917548802,1.1773759024878,23.0166799775858,27.1150771205647,23.5568758909784
"section5",2,"9,4,8,3,7,10",8.83524789118446,5.48864619316992,25.638184271365,1.29295357181995,24.0165252465337,27.4917243244282,23.5568758909784
"section5",2,"9,4,8,3,7,6",10.3730617962031,4.53732765923182,26.0004451844045,1.06885264545228,24.676725028679,27.9716985446093,23.5568758909784
"section5",3,"1,9,4,8,3,7,2,10",-4.49891721293098,5.3748426405453,21.6368102955667,1.21772913131565,19.3042136898398,23.6713532770405,22.656088982581
"section5",3,"2,4,8,3,7,10",-0.877637358492091,5.88975894875402,22.4572506816966,1.33438902828923,20.6832491910316,24.6171549563057,22.656088982581
"section5",3,"5,9,4,8,3,7,2,10",-0.0227446407525998,6.28248471256422,22.6509359365333,1.42336532679559,20.0889842227108,25.0074885534731,22.656088982581
"section5",3,"6,4,8,3,7,10",5.71201320227511,5.46898079480122,23.9502077763852,1.23905715531043,21.6217328429096,25.7013694966179,22.656088982581
"section5",3,"9,4,8,3,7,10",6.5279409918821,6.19865621781482,24.1350651024321,1.40437306843241,21.2348386729186,26.5206385444563,22.656088982581
"section5",3,"9,4,8,3,7,6",7.19645174004638,5.33346000561887,24.2865234923944,1.20835344472338,22.261813562129,26.2558460902486,22.656088982581
"section6",1,"1,9,4,8,3,7,2,10",-2.98408345784408,4.77876936352021,27.6142323435314,1.3602102853201,24.6812187278425,29.528395138977,28.4636102278458
"section6",1,"2,4,8,3,7,10",-2.11041925125298,6.36775104906527,27.8629087179957,1.8124918388855,24.9658462830365,30.5386241081806,28.4636102278458
"section6",1,"5,9,4,8,3,7,2,10",-2.11578839985691,5.14359776145058,27.8613804644645,1.46405361850749,24.7559076023352,30.0856626102204,28.4636102278458
"section6",1,"6,4,8,3,7,10",5.59593027976816,6.14674347606591,30.056414011301,1.74958510473294,26.6200329231233,32.5042302325678,28.4636102278458
"section6",1,"9,4,8,3,7,10",7.90493598959425,6.22482741957281,30.7136403966846,1.77181061406328,26.6956163104537,33.1471893129185,28.4636102278458
"section6",1,"9,4,8,3,7,6",5.53279934522162,4.79668939614885,30.0384446681585,1.36531097356022,26.9023422762817,31.6921743179638,28.4636102278458
"section6",2,"1,9,4,8,3,7,2,10",-3.65798280870671,4.69447482745348,27.38005154908,1.3341527042798,25.2940622161743,29.769474035642,28.4196369842612
"section6",2,"2,4,8,3,7,10",-4.17380610379943,6.70328626621891,27.2334564411344,1.90504962287525,23.6163553863242,30.3496539307159,28.4196369842612
"section6",2,"5,9,4,8,3,7,2,10",-2.30615640248153,5.11111013671586,27.7642357063866,1.45255894672042,25.3687510906669,30.3267415068854,28.4196369842612
"section6",2,"6,4,8,3,7,10",4.71006164049801,6.67767854232256,29.7582194042256,1.89777200070397,26.7315645854088,32.8256687614544,28.4196369842612
"section6",2,"9,4,8,3,7,10",6.97966442196068,6.2623981472777,30.403232275702,1.77975081996542,27.1338252743645,32.7066030995086,28.4196369842612
"section6",2,"9,4,8,3,7,6",5.92916424146032,5.24816146672076,30.1046839378848,1.49150843718992,27.3405512401925,32.3250323311508,28.4196369842612
"section6",3,"1,9,4,8,3,7,2,10",-4.12997820187428,14.1218898567581,31.9249439524251,4.70262271483219,24.3066912673379,36.0552661760921,33.3002364593696
"section6",3,"2,4,8,3,7,10",-10.1524115173331,23.2263726383868,29.9194594177694,7.73443700951714,17.1388461671106,36.0552661760921,33.3002364593696
"section6",3,"5,9,4,8,3,7,2,10",-3.34217124008855,14.2605660882158,32.1872855335431,4.74880222782053,24.3066912673379,36.0552661760921,33.3002364593696
"section6",3,"6,4,8,3,7,10",1.54123367226456,5.55833016418702,33.8134709166252,1.85093708786675,31.4745363675652,36.0552661760921,33.3002364593696
"section6",3,"9,4,8,3,7,10",12.4648328104906,18.1445968685724,37.4510552595281,6.04219366183399,31.4745363675652,47.2652295341452,33.3002364593696
"section6",3,"9,4,8,3,7,6",13.3960242424806,17.2355071701039,37.7611442082702,5.7394646426162,32.7148921625335,47.2652295341452,33.3002364593696
